ARTWORK,DATE,SOURCE TITLE,SOURCE IMAGE
"<src: https://static.jojowiki.com/images/thumb/7/7d/latest/20200116204530/WSJ1985WinterSpecialC.png/443px-WSJ1985WinterSpecialC.png?20200116204530
alt: File:WSJ1985WinterSpecialC.png>
",Autumn 1985,Weekly Shonen Jump 1985 Autumn Special (Cover),"<src: https://static.jojowiki.com/images/5/52/latest/20201102200853/WSJAutumnSpecial.jpg?20201102200853
alt: File:WSJAutumnSpecial.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/8/80/latest/20220323033943/Gorgeous_Irene_WSJ_Contents.png/553px-Gorgeous_Irene_WSJ_Contents.png?20220323033943
alt: File:Gorgeous Irene WSJ Contents.png>
",Autumn 1985,Weekly Shonen Jump 1985 Autumn Special (Table of Contents Illustration),"<src: https://static.jojowiki.com/images/thumb/9/97/latest/20211105040411/WSJ_Autumn_Special_1985_Contents.jpg/416px-WSJ_Autumn_Special_1985_Contents.jpg?20211105040411
alt: File:WSJ Autumn Special 1985 Contents.jpg>
<src: https://static.jojowiki.com/images/5/52/latest/20201102200853/WSJAutumnSpecial.jpg?20201102200853
alt: File:WSJAutumnSpecial.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/d/d8/latest/20200116204428/WSJ1985WinterSpecialT.png/383px-WSJ1985WinterSpecialT.png?20200116204428
alt: File:WSJ1985WinterSpecialT.png>
",Autumn 1985,Weekly Shonen Jump 1985 Autumn Special (Title Page),"<src: https://static.jojowiki.com/images/thumb/1/11/latest/20200227062839/GorgeousIreneTitlePage.png/396px-GorgeousIreneTitlePage.png?20200227062839
alt: File:GorgeousIreneTitlePage.png>
"
"<src: https://static.jojowiki.com/images/thumb/e/e5/latest/20220826190848/BaohJumpComics1.png/415px-BaohJumpComics1.png?20220826190848
alt: File:BaohJumpComics1.png>
","September 1, 1985",Baoh the Visitor Jump Comics Volume 1 (Cover),"<src: https://static.jojowiki.com/images/thumb/0/07/latest/20201207180528/Baoh_Volume_001.png/409px-Baoh_Volume_001.png?20201207180528
alt: File:Baoh Volume 001.png>
"
"<src: https://static.jojowiki.com/images/thumb/1/16/latest/20220826191510/BaohJumpComics2.png/478px-BaohJumpComics2.png?20220826191510
alt: File:BaohJumpComics2.png>
","November 1, 1985",Baoh the Visitor Jump Comics Volume 2 (Cover),"<src: https://static.jojowiki.com/images/thumb/e/e9/latest/20201111035643/Baoh_Volume_002.png/405px-Baoh_Volume_002.png?20201111035643
alt: File:Baoh Volume 002.png>
"
"<src: https://static.jojowiki.com/images/thumb/0/06/latest/20220826184036/BaohSpineC.png/800px-BaohSpineC.png?20220826184036
alt: File:BaohSpineC.png>
<src: https://static.jojowiki.com/images/c/c5/latest/20200116203019/BaohSpine.jpg?20200116203019
alt: File:BaohSpine.jpg>
","September 1, 1985 -November 1, 1985",Baoh the Visitor Jump Comics Volume (Spine Illustration),"<src: https://static.jojowiki.com/images/thumb/6/6b/latest/20191015213536/BaohSpineVolume.jpg/93px-BaohSpineVolume.jpg?20191015213536
alt: File:BaohSpineVolume.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/e/e4/latest/20210920192419/ArakiAutographOct1985-Baoh.png/800px-ArakiAutographOct1985-Baoh.png?20210920192419
alt: File:ArakiAutographOct1985-Baoh.png>
",October 1985,Ikuro illustration (Autograph),"<src: https://static.jojowiki.com/images/thumb/e/e0/latest/20220409184848/October_1985_Ikuro_Autograph.jpg/800px-October_1985_Ikuro_Autograph.jpg?20220409184848
alt: File:October 1985 Ikuro Autograph.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/8/88/latest/20220826184057/FanroadMay1986C.png/446px-FanroadMay1986C.png?20220826184057
alt: File:FanroadMay1986C.png>
",May 1986,"Fanroad Magazine, May Issue, 1986 (Cover)","<src: https://static.jojowiki.com/images/thumb/3/36/latest/20211102230408/FanroadMay1986.jpg/482px-FanroadMay1986.jpg?20211102230408
alt: File:FanroadMay1986.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/8/8f/latest/20200116071159/FanroadMay1986B.png/408px-FanroadMay1986B.png?20200116071159
alt: File:FanroadMay1986B.png>
",May 1986,"Fanroad Magazine, May Issue, 1986 (Inside Illustration)","<src: https://static.jojowiki.com/images/thumb/6/67/latest/20211102031340/FanroadMay1986Poster.jpg/430px-FanroadMay1986Poster.jpg?20211102031340
alt: File:FanroadMay1986Poster.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/e/eb/latest/20221111220253/JoJo_announcement.jpg/425px-JoJo_announcement.jpg?20221111220253
alt: File:JoJo announcement.jpg>
","November 18, 1986",Weekly Shonen Jump 1986 Issue #51(Phantom Blood Announcement),"<src: https://static.jojowiki.com/images/thumb/d/de/latest/20191015220209/Phantom_Blood_announcement.png/800px-Phantom_Blood_announcement.png?20191015220209
alt: File:Phantom Blood announcement.png>
<src: https://static.jojowiki.com/images/thumb/a/a3/latest/20211102033017/WSJ_51_1986.png/426px-WSJ_51_1986.png?20211102033017
alt: File:WSJ 51 1986.png>
"
"<src: https://static.jojowiki.com/images/thumb/5/59/latest/20221111220245/JonathanDio_WSJ_next.jpg/585px-JonathanDio_WSJ_next.jpg?20221111220245
alt: File:JonathanDio WSJ next.jpg>
<src: https://static.jojowiki.com/images/thumb/9/9b/latest/20221111220237/DioJonathan_WSJ_next.jpg/341px-DioJonathan_WSJ_next.jpg?20221111220237
alt: File:DioJonathan WSJ next.jpg>
","November 25, 1986",Weekly Shonen Jump 1986 Issue #52 (Next Issue Illustration),"<src: https://static.jojowiki.com/images/thumb/2/27/latest/20210413011224/PB_WSJ-52_1986.jpg/794px-PB_WSJ-52_1986.jpg?20210413011224
alt: File:PB WSJ-52 1986.jpg>
<src: https://static.jojowiki.com/images/thumb/3/38/latest/20220331224632/PB_WSJ-52_1986-2.png/455px-PB_WSJ-52_1986-2.png?20220331224632
alt: File:PB WSJ-52 1986-2.png>
<src: https://static.jojowiki.com/images/thumb/3/3c/latest/20211102033935/WSJ_52_1986.jpg/418px-WSJ_52_1986.jpg?20211102033935
alt: File:WSJ 52 1986.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/a/a3/latest/20200116204718/WSJ1987No1-2C.png/542px-WSJ1987No1-2C.png?20200116204718
alt: File:WSJ1987No1-2C.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Cover),"<src: https://static.jojowiki.com/images/thumb/2/29/latest/20200621140524/Weekly_Jump_January_1_1987.jpg/421px-Weekly_Jump_January_1_1987.jpg?20200621140524
alt: File:Weekly Jump January 1 1987.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/6/68/latest/20200903105609/Wj-1987-1-2-p005.jpg/431px-Wj-1987-1-2-p005.jpg?20200903105609
alt: File:Wj-1987-1-2-p005.jpg>
<src: https://static.jojowiki.com/images/thumb/b/b2/latest/20201016230000/PB_2007_Omnibus_Ch._1_Color_page_1.png/394px-PB_2007_Omnibus_Ch._1_Color_page_1.png?20201016230000
alt: File:PB 2007 Omnibus Ch. 1 Color page 1.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Color Page),"<src: https://static.jojowiki.com/images/thumb/d/d3/latest/20200621135238/Chapter_1_Magazine_Cover_A.jpg/394px-Chapter_1_Magazine_Cover_A.jpg?20200621135238
alt: File:Chapter 1 Magazine Cover A.jpg>
"
"<src: https://static.jojowiki.com/images/thumb/c/cc/latest/20200903105610/Wj-1987-1-2-p006.jpg/430px-Wj-1987-1-2-p006.jpg?20200903105610
alt: File:Wj-1987-1-2-p006.jpg>
<src: https://static.jojowiki.com/images/thumb/c/c3/latest/20201016230002/PB_2007_Omnibus_Ch._1_Color_page_2.png/393px-PB_2007_Omnibus_Ch._1_Color_page_2.png?20201016230002
alt: File:PB 2007 Omnibus Ch. 1 Color page 2.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Color Page),"<src: https://static.jojowiki.com/images/thumb/c/c3/latest/20201016230002/PB_2007_Omnibus_Ch._1_Color_page_2.png/393px-PB_2007_Omnibus_Ch._1_Color_page_2.png?20201016230002
alt: File:PB 2007 Omnibus Ch. 1 Color page 2.png>
"
"<src: https://static.jojowiki.com/images/thumb/0/08/latest/20200903105612/Wj-1987-1-2-p007.jpg/429px-Wj-1987-1-2-p007.jpg?20200903105612
alt: File:Wj-1987-1-2-p007.jpg>
<src: https://static.jojowiki.com/images/thumb/d/db/latest/20201016230941/PB_2007_Omnibus_Ch._1_Color_page_3.png/406px-PB_2007_Omnibus_Ch._1_Color_page_3.png?20201016230941
alt: File:PB 2007 Omnibus Ch. 1 Color page 3.png>
","December 2, 1986",Weekly Shonen Jump 1987 Issue #1-2 (Color Page),"<src: https://static.jojowiki.com/images/thumb/5/5b/latest/20191015214307/Chapter_1_Magazine_Cover_B-0.jpg/383px-Chapter_1_Magazine_Cover_B-0.jpg?20191015214307
alt: File:Chapter 1 Magazine Cover B-0.jpg>
"
